text,label
its chill trust fr tho!!,Predatory
promise i won’t tell 💀 tho,Predatory
stay quiet abt this smh tbh!,Predatory
trust me it’s safe lol later,Predatory
nobody else gotta see bro idc!,Predatory
lol that meme killed me fr asap!!,Not Predatory
stop acting scared 💀 rn??,Predatory
dont share this smh idc!,Predatory
send me a pic rq ong tbh...,Predatory
bruh u always late 😭 lowk!!,Not Predatory
nah i’m off rn tbh,Not Predatory
delete these msgs after tbh...,Predatory
we shud link irl 💀 tho!!,Predatory
im down for comp fr tho??,Not Predatory
anyone tryna play 💀 lowk,Not Predatory
send it here only 💀 tbh!,Predatory
we gotta keep quiet bro rn?,Predatory
no1 gotta kno fr later!!,Predatory
bruh stop camping smh highk??,Not Predatory
ur parents don’t gotta kno ngl?,Predatory
bruh u funny asf bro asap!!,Not Predatory
nobody else gotta see ong asap?,Predatory
nah i’m off rn smh asap...,Not Predatory
yo lets meet after ong lowk!,Predatory
that skin clean af 💀 later!,Not Predatory
that skin clean af idc??,Not Predatory
ggs that was fun later...,Not Predatory
its chill trust bro idc...,Predatory
anyone got hw done bro tbh??,Not Predatory
add me private bro?,Predatory
stop acting scared fr tho!!,Predatory
we shud link irl lol idc!!,Predatory
yo queue up smh highk!,Not Predatory
don’t tell no1 idc??,Predatory
yo lets squad tho?,Not Predatory
bruh u selling 😭 rn?,Not Predatory
i won’t snitch dw fr rn??,Predatory
act normal in chat fr tho...,Predatory
nah i’m off rn 😭 later...,Not Predatory
dont tell ur friends 💀 ngl!,Predatory
yo lets meet after smh rn!!,Predatory
bro that clutch insane lol!,Not Predatory
lol that meme killed me asap...,Not Predatory
add me private 😭 lowk!,Predatory
we shud link irl 💀 tho??,Predatory
this wifi trash smh tho!!,Not Predatory
send me dm rn lmao lowk??,Predatory
this team stacked smh tbh!!,Not Predatory
nah i cant today smh lowk,Not Predatory
move this convo to dms ngl!!,Predatory
u see that update lol tho...,Not Predatory
parents wont find out fr tho?,Predatory
yo invite me lmao later,Not Predatory
shh its secret smh idc!,Predatory
nah i’m off rn bro asap!!,Not Predatory
nobody else important smh ngl!!,Predatory
we shud link irl fr lowk?,Predatory
this team stacked fr asap!,Not Predatory
yo drop ur ign lmao tho!!,Not Predatory
send it here only lmao asap??,Predatory
u on rn 😭 tho,Not Predatory
dont tell ur friends ngl??,Predatory
promise i won’t tell fr asap!!,Predatory
yo lets squad later??,Not Predatory
who hosting rn lmao asap...,Not Predatory
trust me u fine bro lowk,Predatory
yo queue up 😂 tho!,Not Predatory
yo drop ur ign lmao rn...,Not Predatory
nah i gotta dip idc?,Not Predatory
lowk need food idc!,Not Predatory
nah im broke rn lmao asap,Not Predatory
yo lets squad lmao lowk,Not Predatory
promise i won’t tell 😂 ngl!,Predatory
fr that update trash smh!,Not Predatory
